#Altitude,Temperature,Pressure,Density,Speed of sound,Viscosity
#[km],[Kelvin],[pascal],[kg/m3],[m/s],[Pa.s]
z_km,T_K,P_Pa,rho_kgm3,c_ms,nu_Pas
0,288.15,101325,1.225,340.294,1.81206E-05
1,281.65,89874.6,1.11164,336.434,1.77943E-05
2,275.15,79495.2,1.00649,332.529,1.74645E-05
3,268.65,70108.5,0.909122,328.578,1.71311E-05
4,262.15,61640.2,0.819129,324.579,0.000016794
5,255.65,54019.9,0.736116,320.529,1.64531E-05
6,249.15,47181,0.659697,316.428,1.61084E-05
7,242.65,41060.7,0.589501,312.274,1.57596E-05
8,236.15,35599.8,0.525168,308.063,1.54068E-05
9,229.65,30742.5,0.466348,303.793,1.50498E-05
10,223.15,26436.3,0.412707,299.463,1.46884E-05
11,216.65,22632.1,0.363918,295.07,1.43226E-05
12,216.65,19330.4,0.310828,295.07,1.43226E-05
13,216.65,16510.4,0.265483,295.07,1.43226E-05
14,216.65,14101.8,0.226753,295.07,1.43226E-05
15,216.65,12044.6,0.193674,295.07,1.43226E-05
16,216.65,10287.5,0.16542,295.07,1.43226E-05
17,216.65,8786.68,0.141288,295.07,1.43226E-05
18,216.65,7504.84,0.120676,295.07,1.43226E-05
19,216.65,6410.01,0.103071,295.07,1.43226E-05
20,216.65,5474.89,0.0880349,295.07,1.43226E-05
21,217.65,4677.89,0.0748737,295.75,1.43792E-05
22,218.65,3999.79,0.0637273,296.428,1.44357E-05
23,219.65,3422.43,0.0542803,297.105,0.000014492
24,220.65,2930.49,0.0462674,297.781,1.45483E-05
25,221.65,2511.02,0.0394658,298.455,1.46044E-05
26,222.65,2153.09,0.0336882,299.128,1.46604E-05
27,223.65,1847.46,0.0287769,299.799,1.47164E-05
28,224.65,1586.29,0.0245988,300.468,1.47722E-05
29,225.65,1362.96,0.021042,301.136,1.48279E-05
30,226.65,1171.87,0.0180119,301.803,1.48835E-05
31,227.65,1008.23,0.0154288,302.468,0.000014939
32,228.65,868.019,0.013225,303.131,1.49945E-05
33,231.45,748.228,0.011262,304.982,1.51491E-05
34,234.25,646.122,0.00960889,306.821,1.53029E-05
35,237.05,558.924,0.00821392,308.649,1.54559E-05
36,239.85,484.317,0.00703441,310.467,1.56082E-05
37,242.65,420.367,0.00603513,312.274,1.57596E-05
38,245.45,365.455,0.00518691,314.07,1.59104E-05
39,248.25,318.22,0.00446557,315.856,1.60603E-05
40,251.05,277.522,0.00385101,317.633,1.62096E-05
41,253.85,242.395,0.00332648,319.399,1.63581E-05
42,256.65,212.03,0.00287802,321.156,1.65058E-05
43,259.45,185.738,0.00249393,322.903,1.66529E-05
44,262.25,162.937,0.00216443,324.641,1.67992E-05
45,265.05,143.135,0.00188129,326.369,1.69449E-05
46,267.85,125.91,0.0016376,328.088,1.70898E-05
47,270.65,110.906,0.00142753,329.799,1.72341E-05
48,270.65,97.7545,0.00125825,329.799,1.72341E-05
49,270.65,86.1623,0.00110904,329.799,1.72341E-05
50,270.65,75.9448,0.000977525,329.799,1.72341E-05
51,270.65,66.9389,0.000861606,329.799,1.72341E-05
52,267.85,58.9622,0.000766867,328.088,1.70898E-05
53,265.05,51.8668,0.00068171,326.369,1.69449E-05
54,262.25,45.5632,0.000605252,324.641,1.67992E-05
55,259.45,39.97,0.000536684,322.903,1.66529E-05
56,256.65,35.0137,0.000475263,321.156,1.65058E-05
57,253.85,30.6274,0.000420311,319.399,1.63581E-05
58,251.05,26.7509,0.000371207,317.633,1.62096E-05
59,248.25,23.3296,0.000327382,315.856,1.60603E-05
60,245.45,20.3143,0.000288321,314.07,1.59104E-05
61,242.65,17.6606,0.00025355,312.274,1.57596E-05
62,239.85,15.3287,0.00022264,310.467,1.56082E-05
63,237.05,13.2826,0.0001952,308.649,1.54559E-05
64,234.25,11.49,0.000170875,306.821,1.53029E-05
65,231.45,9.92203,0.000149342,304.982,1.51491E-05
66,228.65,8.55275,0.000130308,303.131,1.49945E-05
67,225.85,7.35895,0.00011351,301.269,0.000014839
68,223.05,6.31992,9.87069E-05,299.396,1.46828E-05
69,220.25,5.41717,0.000085683,297.511,1.45258E-05
70,217.45,4.63422,0.000074243,295.614,1.43679E-05
71,214.65,3.95642,0.000064211,293.704,1.42092E-05
72,212.65,3.37176,0.000055237,292.333,1.40953E-05
73,210.65,2.86917,4.74496E-05,290.955,0.000013981
74,208.65,2.43773,0.000040701,289.57,1.38662E-05
75,206.65,2.06792,3.48607E-05,288.179,0.000013751
76,204.65,1.7514,2.98135E-05,286.781,1.36353E-05
77,202.65,1.48092,2.54579E-05,285.377,1.35192E-05
78,200.65,1.25012,2.17046E-05,283.965,1.34027E-05
79,198.65,1.05351,1.84751E-05,282.546,1.32856E-05
80,196.65,0.88628,1.57005E-05,281.12,1.31682E-05
81,194.65,0.74428,1.33205E-05,279.687,1.30502E-05
82,192.65,0.623905,0.000011282,278.246,1.29318E-05
83,190.65,0.522037,9.53899E-06,276.798,1.28129E-05
84,188.65,0.435981,8.05098E-06,275.343,1.26935E-05
85,186.946,0.36342,6.77222E-06,274.096,1.25915E-05
86,186.946,0.302723,5.64114E-06,274.096,1.25915E-05
